diagram,average,stddev
y19a5s5d1.pdf,1395.0446849370878,696.7847212689214
y19a3s7d1.pdf,967.4870033096284,446.8836717469256
y21a4s8d1.pdf,1665.8776715033587,836.1882696442981
y17a5s11d1.pdf,715.3224320414316,349.11365014818966
y21a3s3d2.pdf,1165.8977401712425,606.281854861058
y19a6s1d2.pdf,1966.8445313627801,924.1747232847648
y18a3s12d1.pdf,706.0969876483554,330.0504813273185
y22a6s6d2.pdf,369.4781236414957,142.09361252986778
y24a3s3d2.pdf,690.411891990887,374.6576867374772
y24a5s4d2.pdf,743.9206748002488,344.10249177074814
y20a3s3d4.pdf,945.6967172044941,445.0816252493217
y19a3s6d8.pdf,965.1499872833397,484.5090798095914
y24a5s7d6.pdf,642.237553642335,359.26814952474916
y23a4s5d1.pdf,918.780308590312,457.55509808001733
y20a3s6d3.pdf,899.6656969664987,438.37020901675913
y22a3s2d2.pdf,684.2630051253168,327.6397049711829
y18a2s3d6.pdf,687.3622618838087,351.2974199447149
y22a5s3d2.pdf,477.67319927240146,240.97746143382562
y17a5s13d1.pdf,969.8591723786182,454.7618800770838
y21a4s4d1.pdf,1471.0587440615507,688.6499353262259
y17a3s2d1.pdf,893.6210163558443,413.95403038510864
y19a4s3d1.pdf,1934.1632565374232,909.1901291924926
y21a3s6d3.pdf,1110.9174506077388,566.5245783100519
y24a4s3d1.pdf,1493.1369847603764,768.4114925946748
y18a2s10d2.pdf,714.739822129702,341.93016342815065
y21a6s3d1.pdf,1505.231748981595,764.4439185871166
y24a3s2d1.pdf,805.4864334693654,374.7544569841133
y18a5s5d2.pdf,775.0953718007717,409.07789349506163
y20a5s4d1.pdf,2339.6691860463798,1162.0585741476755
y17a5s12d2.pdf,658.8707038028723,296.02234544649
y18a5s7d2.pdf,1081.7090542503263,472.0124283100821
y22a5s5d1.pdf,727.1980962649504,364.6334793757629
y24a3s3d3.pdf,778.9263380298172,334.39649743861924
y18a4s5d1.pdf,765.1958353241769,402.89498183037665
y24a5s6d1.pdf,916.2376112547178,430.99512012133323
y18a2s7d3.pdf,582.8367306301128,281.7122782784075
y23a5s3d1.pdf,692.7810435662616,342.83291945235726
y24a6s1d1.pdf,735.1030962342701,398.84406637212925
y18a5s2d2.pdf,843.2871752071144,400.55478285822466
y19a5s1d2.pdf,1131.857663772237,557.8154268112575
y23a3s2d3.pdf,752.654292264215,317.01816404782505
y23a3s6d1.pdf,531.747636624672,280.76223374317397
y19a3s4d3.pdf,1693.4602200007487,794.8354269924615
y18a2s6d1.pdf,729.2453435873773,337.23455503890114
y17a3s7d1.pdf,818.2004800760075,391.307076302799
y19a3s2d2.pdf,1345.9232200573952,691.0823822797321
y23a6s2d1.pdf,801.3857096639899,387.9006133880313
y19a3s6d1.pdf,1494.8313925473863,764.3492875283116
y21a3s1d5.pdf,1400.8909219634336,688.8835683236946
y21a3s5d2.pdf,1430.275948423474,584.5907523430119
y21a6s7d1.pdf,1572.1066041632405,839.9640848607762
y22a5s2d1.pdf,3387.4977049189424,2016.9322535598749
y24a3s3d10.pdf,750.6506441531753,370.80481642192615
y19a6s8d2.pdf,1599.8180840361483,730.4685996312129
y17a2s3d1.pdf,783.8708473893363,366.4052184219108
y24a6s1d2.pdf,1188.112241664343,601.3425126724366
y21a6s8d2.pdf,1630.9607973121867,799.2614826393152
y19a5s4d1.pdf,1657.1623972441896,894.3274616560121
y24a3s4d2.pdf,731.2963766246612,356.2082885472478
y19a3s13d8.pdf,1013.4168226187155,554.1575991616965
y21a5s8d1.pdf,1433.962807129036,689.4572522580711
y18a2s12d2.pdf,537.7651542015742,251.7124291549252
y19a4s8d1.pdf,1196.34962829747,586.1120957992616
y22a3s3d4.pdf,816.8513985732465,383.2697040622322
y22a3s6d3.pdf,743.54488746002,319.40578562014446
y22a3s1d1.pdf,938.8843460143129,416.655407583923
