y19a5s6d1,16
y19a5s6d2,8
y19a5s8d1,26
y19a5s8d2,8
y19a5s9d1,24
y19a5s9d2,10
y19a5s10d1,22
y19a5s10d2,7
y19a5s11d1,18
y19a5s11d2,7
y19a5s13d1,23
y19a5s13d2,6
y19a5s13d3,9
y19a5s14d1,24
y19a5s14d2,9
y19a6s1d1,7
y19a6s1d2,17
y19a6s2d1,13
y19a6s2d2,4
y19a6s2d3,4
y19a6s2d4,4
y19a6s2d5,16
y19a6s2d6,11
y19a6s3d1,8
y19a6s3d2,15
y19a6s4d1,20
y19a6s4d2,8
y19a6s5d1,20
y19a6s5d2,9
y19a6s6d1,19
y19a6s6d2,9
y19a6s7d1,21
y19a6s7d2,11
y19a6s8d1,12
y19a6s8d2,11
y19a6s9d1,13
y19a6s9d2,9
y19a6s10d1,20
y19a6s10d2,9
y19a6s11d1,20
y19a6s11d2,6
y19a6s12d1,16
y19a6s12d2,7
y19a6s14d1,20
y19a6s14d2,9
y19a6s16d1,12
y19a6s16d2,4
y18a2s1d4,8
y18a2s2d4,14
y18a2s3d1,9
y18a2s4d2,9
y18a2s5d4,15
y18a2s6d2,15
y18a2s7d2,8
y18a2s7d3,15
y18a2s7d4,4
y18a2s8d2,13
y18a2s9d4,26
y18a2s10d2,6
y18a2s11d2,9
y18a2s12d2,11
y18a2s13d4,8
y18a3s1d1,8
y18a3s2d1,7
y18a3s3d1,6
y18a3s4d1,5
y18a3s5d1,9
y18a3s6d1,6
y18a3s7d1,6
y18a3s8d1,6
y18a3s9d1,6
y18a3s10d1,7
y18a3s12d1,5
y18a3s13d1,11
y18a4s1d1,17
y18a4s1d2,17
y18a4s1d3,4
y18a4s2d1,18
y18a4s2d2,10
y18a4s3d1,25
y18a4s3d2,12
y18a4s4d1,21
y18a4s4d2,10
y18a4s5d1,17
y18a4s5d2,18
y18a4s6d1,18
y18a4s6d2,6
y18a4s7d1,16
y18a4s7d2,7
y18a4s8d1,18
y18a4s8d2,12
y18a4s9d1,21
y18a4s9d2,8
y18a4s10d1p1,19
y18a4s10d1p2,19
